spectrum_identity,material
abs 8. yellow lego fragment,acrylonitrile butadiene styrene (abs)
abs 9. beige lego fragment,acrylonitrile butadiene styrene (abs)
abs-black fragment-us ceiling,acrylonitrile butadiene styrene (abs)
abs-black tube-unknown source,acrylonitrile butadiene styrene (abs)
abs-yellow fragment-interstate plastics,acrylonitrile butadiene styrene (abs)
acanthite,mineral
accetyl ferrocene,other plastic
acenaphthylene,other material
acesulfame k,other material
acetaminophen (lot #39115),other material
acetat,other plastic
acetic annhydride,other material
acetoacetanilide (lot #15531jh),other material
acetone,other material
acetonitrile,other material
acetophenone,other material
acetyl norfentanyl hcl   (lot #0450748-6),other material
acetylcodeine hcl (lot #akf27a),other material
acetylfentanyl hcl (lot #4541-886-149a),other material
achminaca (lot #0527214-6),other material
acronal,other material
acryl fentanyl hcl (lot #rm-171011-01),other material
acrylamide,other material
acrylic,poly(acrylonitrile)
acrylic 1. green yarn fiber,poly(acrylonitrile)
acrylic 3. yellow yarn fiber,poly(acrylonitrile)
acrylic acid,other material
acrylic anhydride,other plastic
acrylic resin_785,poly(acrylonitrile)
acrylnitril-butadien-styrol,acrylonitrile butadiene styrene (abs)
acrylonitrile,poly(acrylonitrile)
acrylonitrile butadiene,other plastic
acrylonitrile butadiene styrene,acrylonitrile butadiene styrene (abs)
acrylonitrile-butadiene-styrene rubber,acrylonitrile butadiene styrene (abs)
actinolite,mineral
actinolite__r040063-1__infrared__infrared_data_processed__190,mineral
actinolite__r040063__raman__514__0__unoriented__raman_data_processed__9418,mineral
actinolite__r040063__raman__532__0__unoriented__raman_data_processed__15158,mineral
actinolite__r040063__raman__785__0__unoriented__raman_data_processed__15156,mineral
actinolite__r040064-1__infrared__infrared_data_processed__192,mineral
actinolite__r040064__raman__514__0__unoriented__raman_data_processed__9421,mineral
actinolite__r040064__raman__532__0__unoriented__raman_data_processed__15167,mineral
actinolite__r050025-1__infrared__infrared_data_processed__193,mineral
actinolite__r050025__raman__514__0__unoriented__raman_data_processed__9875,mineral
actinolite__r050025__raman__532__0__unoriented__raman_data_processed__21061,mineral
actinolite__r050025__raman__785__0__unoriented__raman_data_processed__21059,mineral
actinolite__r050336-1__infrared__infrared_data_processed__388,mineral
actinolite__r050336__raman__514__0__unoriented__raman_data_processed__10784,mineral
actinolite__r050336__raman__532__0__unoriented__raman_data_processed__29066,mineral
actinolite__r050336__raman__780__0__unoriented__raman_data_processed__29067,mineral
actinolite__r060041-1__infrared__infrared_data_processed__1189,mineral
actinolite__r060041__raman__532__0__unoriented__raman_data_processed__26867,mineral
actinolite__r060041__raman__780__0__unoriented__raman_data_processed__26865,mineral
actinolite__r060045-1__infrared__infrared_data_processed__801,mineral
actinolite__r060045__raman__532__0__unoriented__raman_data_processed__26893,mineral
actinolite__r060045__raman__780__0__unoriented__raman_data_processed__26891,mineral
actinolite__r120010__raman__532__0__unoriented__raman_data_processed__36404,mineral
actinolite__r120010__raman__780__0__unoriented__raman_data_processed__36390,mineral
actinote,mineral
adamite,mineral
adamite__r040130__raman__514__0__unoriented__raman_data_processed__9553,mineral
adamite__r040130__raman__532__0__unoriented__raman_data_processed__19756,mineral
adamite__r040130__raman__785__0__unoriented__raman_data_processed__19759,mineral
adamite__r050020-1__infrared__infrared_data_processed__196,mineral
adamite__r050020__raman__514__0__unoriented__raman_data_processed__9865,mineral
adamite__r050020__raman__532__0__unoriented__raman_data_processed__21146,mineral
adamite__r050020__raman__785__0__unoriented__raman_data_processed__21144,mineral
adamite__r060593__raman__532__0__unoriented__raman_data_processed__35814,mineral
adamite__r060593__raman__780__0__unoriented__raman_data_processed__35812,mineral
adamsite-(y),mineral
adamsitey__r070360__raman__532__0__unoriented__raman_data_processed__25936,mineral
adanite,mineral
adb-fubinaca (lot #rm-140506-03),other material
adb-pinaca (lot #0451074-17),other material
adelite,mineral
adelite__r060687__raman__532__0__unoriented__raman_data_processed__16083,mineral
adelite__r060687__raman__785__0__unoriented__raman_data_processed__30376,mineral
adipic acid,other material
adipoyl chloride,other plastic
aegirine,mineral
aegirine__r040054-1__infrared__infrared_data_processed__198,mineral
aegirine__r040054__raman__514__0__unoriented__raman_data_processed__9390,mineral
aegirine__r040054__raman__532__0__unoriented__raman_data_processed__15125,mineral
aegirine__r040054__raman__785__0__unoriented__raman_data_processed__29980,mineral
aegirine__r050074-1__infrared__infrared_data_processed__197,mineral
aegirine__r050074__raman__514__0__unoriented__raman_data_processed__9979,mineral
aegirine__r050074__raman__532__0__unoriented__raman_data_processed__21279,mineral
aegirine__r050074__raman__785__0__unoriented__raman_data_processed__21281,mineral
aegirine__r061093__raman__532__0__unoriented__raman_data_processed__15971,mineral
aegirine__r061093__raman__785__0__unoriented__raman_data_processed__15973,mineral
aegirine__r070125__raman__532__0__unoriented__raman_data_processed__18519,mineral
aegirine__r070125__raman__785__0__unoriented__raman_data_processed__18542,mineral
aegirine__r070253__raman__532__0__unoriented__raman_data_processed__33956,mineral
aegirine__r070253__raman__780__0__unoriented__raman_data_processed__33958,mineral
aegirine__r120144__raman__532__0__unoriented__raman_data_processed__37197,mineral
aegirine__r120144__raman__780__0__unoriented__raman_data_processed__37199,mineral
aegirine__r120167__raman__532__0__unoriented__raman_data_processed__37237,mineral
aegirine__r120167__raman__780__0__unoriented__raman_data_processed__37239,mineral
aenigmatite,mineral
aenigmatite__r061088__raman__532__0__unoriented__raman_data_processed__15907,mineral
aenigmatite__r061089__raman__532__0__unoriented__raman_data_processed__15888,mineral
aenigmatite__r061089__raman__785__0__unoriented__raman_data_processed__24387,mineral
aeschynite-(y),mineral
aeschynitece__r080045__raman__532__0__unoriented__raman_data_processed__27462,mineral
aeschynitey__r060312__raman__532__0__unoriented__raman_data_processed__34101,mineral
aeschynitey__r080045-1__infrared__infrared_data_processed__1015,mineral
afghanite,mineral
afghanite__r060422__raman__532__0__unoriented__raman_data_processed__34952,mineral
afghanite__r060422__raman__780__0__unoriented__raman_data_processed__34954,mineral
afghanite__r070558__raman__532__0__unoriented__raman_data_processed__22937,mineral
afghanite__r070558__raman__785__0__unoriented__raman_data_processed__28312,mineral
afmite,mineral
afwillite,mineral
afwillite__r070296__raman__532__0__unoriented__raman_data_processed__20588,mineral
afwillite__r070296__raman__785__0__unoriented__raman_data_processed__20590,mineral
afwillite__r080022__raman__532__0__unoriented__raman_data_processed__26410,mineral
afwillite__r080022__raman__780__0__unoriented__raman_data_processed__29063,mineral
afwillite__r141097__raman__532__0__unoriented__raman_data_processed__38867,mineral
ag al0.12 fe2.88 h6 o14 s2,mineral
ag as mn s3,mineral
ag cl,mineral
ag fe2 s3,mineral
ag i,mineral
ag o6 u v,mineral
ag1.041 mn0.919 pb3 s12 sb5.041,mineral
ag1.049 mn0.901 pb3 s12 sb5.049,mineral
ag17.742 as3.552 s15 sb0.448,mineral
ag9 cl62 cu24 h48 k o48 pb26,mineral
agardite-(y),mineral
agarditey__r060711__raman__532__0__unoriented__raman_data_processed__12193,mineral
agarditey__r060711__raman__785__0__unoriented__raman_data_processed__18718,mineral
agarditey__r060924__raman__532__0__unoriented__raman_data_processed__13224,mineral
agarditey__r070357__raman__532__0__unoriented__raman_data_processed__21399,mineral
agarditey__r070649__raman__532__0__unoriented__raman_data_processed__24224,mineral
agrellite,mineral
agrellite__r060914__raman__532__0__unoriented__raman_data_processed__13114,mineral
agrinierite,mineral
ah-7921 (lot #rm-022813-2),other material
aheylite,mineral
aheylite__r070070__raman__532__0__unoriented__raman_data_processed__17593,mineral
aheylite__r070070__raman__785__0__unoriented__raman_data_processed__17595,mineral
aheylite__r070171__raman__532__0__unoriented__raman_data_processed__25579,mineral
aheylite__r070171__raman__785__0__unoriented__raman_data_processed__25580,mineral
ahlfeldite,mineral
ahlfeldite__r100210__raman__532__0__unoriented__raman_data_processed__35081,mineral
aikinite,mineral
ajoite,mineral
ajoite__r060735__raman__532__0__unoriented__raman_data_processed__12425,mineral
ajoite__r060735__raman__532__0__unoriented__raman_data_processed__37077,mineral
